Date,Open,High,Low,Close,Adj Close,Volume
2015-04-06,73.629997,74.370003,73.529999,73.760002,59.483189,279600
2015-04-07,73.809998,74.790001,73.720001,74.209999,59.846088,298000
2015-04-08,74.610001,75.089996,73.529999,73.879997,59.579967,413800
2015-04-09,73.860001,74.589996,73.860001,74.519997,60.096085,250800
2015-04-10,74.589996,75.139999,74.400002,75.059998,60.531574,351400
2015-04-13,74.860001,74.989998,74.650002,74.849998,60.362213,188200
2015-04-14,75.500000,76.019997,75.379997,75.779999,61.112206,246600
2015-04-15,75.559998,78.400002,75.519997,77.900002,62.821861,388000
2015-04-16,78.050003,79.279999,77.900002,78.949997,63.668636,384300
2015-04-17,79.019997,79.059998,78.050003,78.510002,63.313812,340400
2015-04-20,78.660004,79.720001,78.480003,79.389999,64.023468,336500
2015-04-21,79.250000,79.449997,78.769997,78.970001,63.684753,173900
2015-04-22,79.029999,79.139999,77.949997,78.510002,63.313812,280900
2015-04-23,78.000000,80.169998,78.000000,79.870003,64.410553,313400
2015-04-24,80.070000,80.230003,79.279999,79.370003,64.007347,255100
2015-04-27,79.800003,80.300003,79.699997,80.139999,64.628304,273600
2015-04-28,80.389999,81.370003,80.209999,81.180000,65.466995,304800
2015-04-29,80.860001,81.599998,80.860001,81.230003,65.507317,205000
2015-04-30,80.839996,81.029999,80.000000,80.279999,64.741196,294700
2015-05-01,80.199997,80.230003,79.699997,79.790001,64.346046,247800
2015-05-04,80.089996,80.239998,79.889999,80.180000,64.660553,140700
